mouse_id	Flow.date	RFID	Genotype	Environment	Weight_gain.	Wege_cage	Gender	Pregnant	Diarrhea	Tissue	Sample.	Eosinphils	Neutrophils	Ly6C_Monocyte	CD11c_MHCII	CD103_CD11c_MHCII_DC	CD103neg_CD11c_MHCII_DC
61-1	28-Jul	C1 NOD2 PBMC 61-1 lymph.fcs	NOD2	lab	14.79289941	2517961	F	N	N	blood	G1 NOD2 MLN 61-1 Myeloid.fcs	0.025	0.00935	0.89	2.63	0.4	1.4
61-2	28-Jul	C2 NOD2 PBMC 61-2 lymph.fcs	NOD2	lab	7.73480663	2517961	F	N	N	blood	G2 NOD2 MLN 61-2 Myeloid.fcs	0.12	0.018	5.12	2.98	0.38	1.6
61-3	28-Jul	C3 NOD2 PBMC 61-3 lymph.fcs	NOD2	lab	15.625	2517961	F	N	N	blood	G3 NOD2 MLN 61-3 Myeloid.fcs	0.078	0.017	1.03	3.6	0.66	1.96
61-4	28-Jul	C4 NOD2 PBMC 61-4 lymph.fcs	NOD2	lab	16.93989071	2517961	F	N	N	blood	G4 NOD2 MLN 61-4 Myeloid.fcs	0.18	0.065	1.67	2.36	0.22	1.29
64-1	28-Jul	D1 NOD2 PBMC64-1 lymph.fcs	NOD2	lab	15.42857143	2517964	F	N	N	blood	A1 NOD2 MLN 64-1 Myeloid.fcs	0.16	0.018	0.59	1.51	0.28	0.91
64-2	28-Jul	D2 NOD2 PBMC64-2 lymph.fcs	NOD2	lab	10.43956044	2517964	F	N	N	blood	A2 NOD2 MLN 64-2 Myeloid.fcs	0.27	0.00374	0.77	1.65	0.25	1.12
64-3	28-Jul	D3 NOD2 PBMC64-3 lymph.fcs	NOD2	lab	18.98734177	2517964	F	N	N	blood	A3 NOD2 MLN 64-3 Myeloid.fcs	0.19	0.015	0.73	1.45	0.26	0.92
64-4	28-Jul	D4 NOD2 PBMC64-4 lymph.fcs	NOD2	lab	18.56287425	2517964	F	N	N	blood	NA	NA	NA	NA	NA	NA	NA
64-5	28-Jul	D5 NOD2 PBMC64-5 lymph.fcs	NOD2	lab	22.6993865	2517964	F	N	N	blood	A5 NOD2 MLN 64-5 Myeloid.fcs	0.14	0.00772	0.4	0.95	0.14	0.63
65-1	28-Jul	D7 NOD2 PBMC65-1 lymph.fcs	NOD2	lab	8.366533865	2517965	M	N	N	blood	A7 NOD2 MLN 65-1 Myeloid.fcs	0.09	0.012	1.19	2.13	0.46	1.23
65-2	28-Jul	D8 NOD2 PBMC65-2 lymph.fcs	NOD2	lab	11.81434599	2517965	M	N	N	blood	A8 NOD2 MLN 65-2 Myeloid.fcs	0.067	0.025	1.3	3.41	0.61	1.93
65-3	28-Jul	D9 NOD2 PBMC65-3 lymph.fcs	NOD2	lab	12.18487395	2517965	M	N	N	blood	A9 NOD2 MLN 65-3 Myeloid.fcs	0.071	0.022	1.39	1.71	0.42	0.84
65-4	28-Jul	D10 NOD2 PBMC65-4 lymph.fcs	NOD2	lab	4.280155642	2517965	M	N	N	blood	A10 NOD2 MLN 65-4 Myeloid.fcs	0.094	0.028	1.53	2.29	0.43	1.42
65-5	28-Jul	D11 NOD2 PBMC65-5 lymph.fcs	NOD2	lab	4.633204633	2517965	M	N	N	blood	A11 NOD2 MLN 65-5 Myeloid.fcs	0.096	0.017	1.01	2.01	0.32	1.21
66-1	28-Jul	D7 NOD2 PBMC66-1 lymph.fcs	NOD2	lab	7.172995781	2517966	M	N	N	blood	A7 NOD2 MLN 66-1 Myeloid.fcs	0.16	0.038	0.82	2.08	0.41	1.12
66-2	28-Jul	D8 NOD2 PBMC66-2 lymph.fcs	NOD2	lab	9.917355372	2517966	M	N	N	blood	A8 NOD2 MLN 66-2 Myeloid.fcs	0.16	0.028	0.91	2.37	0.24	1.41
66-3	28-Jul	D9 NOD2 PBMC66-3 lymph.fcs	NOD2	lab	12.90322581	2517966	M	N	N	blood	A9 NOD2 MLN 66-3 Myeloid.fcs	0.95	0.027	0.7	2.1	0.25	1.16
66-4	28-Jul	D10 NOD2 PBMC66-4 lymph.fcs	NOD2	lab	8.733624454	2517966	M	N	N	blood	A10 NOD2 MLN 66-4 Myeloid.fcs	0.17	0.019	0.67	1.58	0.26	0.82
66-5	28-Jul	D11 NOD2 PBMC66-5 lymph.fcs	NOD2	lab	9.282700422	2517966	M	N	N	blood	A11 NOD2 MLN 66-5 Myeloid.fcs	0.19	0.021	0.82	2.35	0.38	1.31
70-1	28-Jul	E1 AtgE PBMC 70-1 lymph.fcs	AtgE	lab	17.17791411	2538770	F	N	N	blood	B1 AtgE MLN 70-1 Myeloid.fcs	0.084	0.015	2.09	1.63	0.26	1.02
70-2	28-Jul	E2 AtgE PBMC 70-2 lymph.fcs	AtgE	lab	10.16949153	2538770	F	N	N	blood	NA	NA	NA	NA	NA	NA	NA
70-7	28-Jul	E4 AtgE PBMC 70-7 lymph.fcs	AtgE	lab	11.79775281	2538770	F	N	N	blood	B4 AtgE MLN 70-7 Myeloid.fcs	0.15	0.012	1.75	1.34	0.16	0.91
70-9	28-Jul	E5 AtgE PBMC 70-9 lymph.fcs	AtgE	lab	15.50802139	2538770	F	N	N	blood	B5 AtgE MLN 70-9 Myeloid.fcs	0.11	0.013	2.04	1.5	0.24	0.96
71-3	28-Jul	D6 AtgE PBMC 71-3 lymph.fcs	AtgE	lab	3.255813953	2538771	M	N	N	blood	H6 AtgE MLN 71-3 Myeloid.fcs	0.036	0.041	2.91	2.97	0.47	1.55
71-6	28-Jul	D7 AtgE PBMC 71-6 lymph.fcs	AtgE	lab	6.140350877	2538771	M	N	N	blood	H7 AtgE MLN 71-6 Myeloid.fcs	0.055	0.018	2.49	2.42	0.32	1.19
71-7	28-Jul	D8 AtgE PBMC 71-7 lymph.fcs	AtgE	lab	15.13761468	2538771	M	N	N	blood	H8 AtgE MLN 71-7 Myeloid.fcs	0.021	0.00986	38.9	0.47	0.086	0.19
71-8	28-Jul	D9 AtgE PBMC 71-8 lymph.fcs	AtgE	lab	9.561752988	2538771	M	N	N	blood	H9 AtgE MLN 71-8 Myeloid.fcs	0.063	0.014	14.9	1.3	0.22	0.6
71-9	28-Jul	D10 AtgE PBMC 71-9 lymph.fcs	AtgE	lab	7.174887892	2538771	M	N	N	blood	H10 AtgE MLN 71-9 Myeloid.fcs	0.029	0.013	2.47	2.07	0.37	1.03
76-1	28-Jul	E1 AtgE PBMC 76-1 lymph.fcs	AtgE	lab	15.96958175	2538776	M	N	N	blood	B1 AtgE MLN 76-1 Myeloid.fcs	0.087	0.042	2.99	2.86	0.43	1.34
76-2	28-Jul	E2 AtgE PBMC 76-2 lymph.fcs	AtgE	lab	11.45038168	2538776	M	N	N	blood	B2 AtgE MLN 76-2 Myeloid.fcs	0.078	0.03	3.68	4.68	0.48	2.74
76-3	28-Jul	E3 AtgE PBMC 76-3 lymph.fcs	AtgE	lab	17.12062257	2538776	M	N	N	blood	B3 AtgE MLN 76-3 Myeloid.fcs	0.089	0.053	2.83	3.7	0.35	2.15
76-4	28-Jul	E4 AtgE PBMC 76-4 lymph.fcs	AtgE	lab	20.8	2538776	M	N	N	blood	B4 AtgE MLN 76-4 Myeloid.fcs	0.1	0.031	2.91	4.64	0.65	2.65
76-5	28-Jul	E5 AtgE PBMC 76-5 lymph.fcs	AtgE	lab	17.4796748	2538776	M	N	N	blood	B5 AtgE MLN 76-5 Myeloid.fcs	0.069	0.023	2.82	3.13	0.38	1.74
77-76	28-Jul	E7 AtgH PBMC77-76 lymph.fcs	AtgH	lab	22.98136646	2517977	F	N	N	blood	B7 AtgH MLN 77-76 Myeloid.fcs	0.33	0.14	1.23	0.45	0.054	0.38
77-77	28-Jul	E8 AtgH PBMC77-77 lymph.fcs	AtgH	lab	17.17791411	2517977	F	N	N	blood	B8 AtgH MLN 77-77 Myeloid.fcs	0.076	0.00549	1.69	1.02	0.092	0.68
77-78	28-Jul	E9 AtgH PBMC77-78 lymph.fcs	AtgH	lab	14.12429379	2517977	F	N	N	blood	B9 AtgH MLN 77-78 Myeloid.fcs	0.068	0.036	1.92	1.7	0.22	1.08
77-79	28-Jul	E10 AtgH PBMC77-79 lymph.fcs	AtgH	lab	18.53932584	2517977	F	N	N	blood	B10 AtgH MLN 77-79 Myeloid.fcs	0.027	0.011	2.1	0.61	0.13	0.33
77-80	28-Jul	E11 AtgH PBMC77-80 lymph.fcs	AtgH	lab	13.87283237	2517977	F	N	N	blood	B11 AtgH MLN 77-80 Myeloid.fcs	0.12	0.016	1.54	1.28	0.15	0.83
78-84	28-Jul	C6 AtgH PBMC 78-84 lymph.fcs	AtgH	lab	9.865470852	2517978	M	N	N	blood	G6 AtgH MLN 78-84 Myeloid.fcs	0.023	0.00847	0.62	2.39	0.34	1.35
78-85	28-Jul	C7 AtgH PBMC 78-85 lymph.fcs	AtgH	lab	5.936073059	2517978	M	N	N	blood	G7 AtgH MLN 78-85 Myeloid.fcs	0.032	0.042	0.74	2.86	0.44	1.53
82-5	28-Jul	E9 AtgH PBMC82-5 lymph.fcs	AtgH	lab	7.428571429	2517982	F	N	N	blood	B9 AtgH MLN 82-5 Myeloid.fcs	0.044	0.03	0.98	1.56	0.17	1.04
82-7	28-Jul	E10 AtgH PBMC82-7 lymph.fcs	AtgH	lab	11.86440678	2517982	F	N	N	blood	B10 AtgH MLN 82-7 Myeloid.fcs	0.085	0.032	1.15	1.17	0.14	0.75
82-8	28-Jul	E11 AtgH PBMC82-8 lymph.fcs	AtgH	lab	6.432748538	2517982	F	N	N	blood	B11 AtgH MLN 82-8 Myeloid.fcs	0.01	0.015	0.88	1.34	0.16	0.94
82-92	28-Jul	E7 AtgH PBMC82-92 lymph.fcs	AtgH	lab	21.47239264	2517982	F	N	N	blood	B7 AtgH MLN 82-92 Myeloid.fcs	0.036	0.064	1.04	1.64	0.2	1.09
82-94	28-Jul	E8 AtgH PBMC82-94 lymph.fcs	AtgH	lab	18.13186813	2517982	F	N	N	blood	B8 AtgH MLN 82-94 Myeloid.fcs	0.032	0.034	1.17	2.3	0.2	1.6
86-3	28-Jul	C8 AtgH PBMC 86-3 lymph.fcs	AtgH	lab	11.98156682	2538786	M	N	N	blood	G8 AtgH MLN 86-3 Myeloid.fcs	0.037	0.043	0.71	2.58	0.41	1.3
86-6	28-Jul	C9 AtgH PBMC 86-6 lymph.fcs	AtgH	lab	12.67605634	2538786	M	N	N	blood	G9 AtgH MLN 86-6 Myeloid.fcs	0.092	0.055	0.85	2.44	0.34	1.34
86-7	28-Jul	C10 AtgH PBMC 86-7 lymph.fcs	AtgH	lab	3.167420814	2538786	M	N	N	blood	G10 AtgH MLN 86-7 Myeloid.fcs	0.057	0.087	0.85	3.89	0.44	2.35
86-8	28-Jul	C11 AtgH PBMC 86-8 lymph.fcs	AtgH	lab	4.608294931	2538786	M	N	N	blood	G11 AtgH MLN 86-8 Myeloid.fcs	0.072	0.02	0.76	2.74	0.41	1.45
86-9	28-Jul	C12 AtgH PBMC 86-9 lymph.fcs	AtgH	lab	4.888888889	2538786	M	N	N	blood	G12 AtgH MLN 86-9 Myeloid.fcs	0.094	0.14	1.08	2.6	0.45	1.22
