mouse_id	Location	challenge	Genetics	Name	Plate	IL-1a	IL-5	IFN-y	TNF-a	KC_CXCL1	MCP-1_CCL2	IL-1b	IL-10	MIP-1a_CCL3	MIP-1b_CCL4	IL-17	IL-6	IL-13
30-10	NYU	Candida A.	AtgH	H9.fcs	P6	<1.57	<2.14	<1.96	<1.92	<2.55	<2.01	<1.78	<2.04	<2.01	<6.80	<1.89	<1.44	<2.10
32-8	NYU	PBS	AtgW	A10.fcs	P7	<0.33	<1.09	<3.41	<1.03	<0.43	<2.47	<1.15	<5.45	4.44	7.47	<1.42	<4.58	<3.11
78-84	NYU	PBS	AtgH	A11.fcs	P7	<0.33	<1.09	<3.41	<1.03	<0.43	<2.47	<1.15	<5.45	<1.31	3.88	<1.42	<4.58	<3.11
78-85	NYU	PBS	AtgH	A12.fcs	P7	<0.33	<1.09	<3.41	<1.03	<0.43	<2.47	<1.15	<5.45	4.55	<3.70	<1.42	<4.58	<3.11
61-1	NYU	PBS	NOD2	A3.fcs	P7	<0.33	<1.09	5.84	<1.03	<0.43	<2.47	2.16	<5.45	9.67	13.26	5.48	<4.58	<3.11
61-2	NYU	PBS	NOD2	A4.fcs	P7	<0.33	<1.09	7.66	<1.03	2.96	2.83	<1.15	<5.45	5.81	7.67	<1.42	<4.58	<3.11
61-3	NYU	PBS	NOD2	A5.fcs	P7	<0.33	<1.09	6.12	<1.03	5.51	<2.47	1.66	<5.45	17.61	7.24	<1.42	<4.58	<3.11
61-4	NYU	PBS	NOD2	A6.fcs	P7	0.33	<1.09	4.22	1.1	2.15	<2.47	<1.15	<5.45	35.54	9.62	<1.42	<4.58	<3.11
32-1	NYU	PBS	AtgW	A7.fcs	P7	<0.33	<1.09	<3.41	<1.03	5.46	3.58	<1.15	<5.45	8.55	9.82	<1.42	<4.58	<3.11
32-2	NYU	PBS	AtgW	A8.fcs	P7	<0.33	<1.09	<3.41	<1.03	3.71	4.68	<1.15	<5.45	5.85	4.58	<1.42	<4.58	<3.11
32-5	NYU	PBS	AtgW	A9.fcs	P7	<0.33	<1.09	<3.41	<1.03	<0.43	<2.47	<1.15	<5.45	13.49	4.31	<1.42	<4.58	<3.11
32-8	NYU	CD3/CD28	AtgW	B10.fcs	P7	<0.33	2.99	1577	51.95	1.47	<2.47	<1.15	<5.45	371.06	87.12	385.53	11.7	<3.11
78-84	NYU	CD3/CD29	AtgH	B11.fcs	P7	<0.33	<1.09	509.01	43.97	<0.43	<2.47	<1.15	<5.45	191.02	54.17	48.3	<4.58	<3.11
78-85	NYU	CD3/CD30	AtgH	B12.fcs	P7	<0.33	4.25	1134	77.14	<0.43	<2.47	<1.15	<5.45	237.73	30.61	202.77	<4.58	<3.11
61-1	NYU	CD3/CD31	NOD2	B3.fcs	P7	0.62	14.95	314.12	62.79	7.96	9.59	<1.15	<5.45	192.26	67.29	28.07	40.5	<3.11
61-2	NYU	CD3/CD32	NOD2	B4.fcs	P7	0.61	46.2	678.81	64.75	13.62	9.61	2.45	111.27	200.22	80.35	99.82	44.65	4.06
61-3	NYU	CD3/CD33	NOD2	B5.fcs	P7	0.79	105.39	1395	72.98	13.35	6.98	2	160.6	210.67	94.47	232.95	50.35	4.88
61-4	NYU	CD3/CD34	NOD2	B6.fcs	P7	0.8	23.81	>11302	106.73	8.59	8.77	<1.15	<5.45	497.18	196.89	163.8	51.5	3.29
32-1	NYU	CD3/CD35	AtgW	B7.fcs	P7	<0.33	3.7	817.63	55.72	5.39	5.78	<1.15	<5.45	216.42	44.13	66.7	47.17	<3.11
32-2	NYU	CD3/CD36	AtgW	B8.fcs	P7	0.69	24.03	1063	72.5	14.19	10.53	<1.15	106.92	196.4	50.95	274.22	26.36	4.14
32-5	NYU	CD3/CD37	AtgW	B9.fcs	P7	<0.33	5.27	1910	54.07	<0.43	<2.47	<1.15	<5.45	188.15	38.9	212.24	26.63	<3.11
32-8	NYU	Staph A.	AtgW	C10.fcs	P7	<0.33	<1.09	276.39	45.89	199.79	<2.47	<1.15	<5.45	92.09	10.5	<1.42	25.57	<3.11
78-84	NYU	Staph A.	AtgH	C11.fcs	P7	<0.33	<1.09	<3.41	1.14	0.74	<2.47	<1.15	<5.45	30.39	4.65	<1.42	<4.58	<3.11
78-85	NYU	Staph A.	AtgH	C12.fcs	P7	0.45	<1.09	7.83	5.51	<0.43	<2.47	<1.15	<5.45	50.05	5.5	<1.42	<4.58	<3.11
61-1	NYU	Staph A.	NOD2	C3.fcs	P7	1.26	2	28.4	31.03	49.04	15.49	7.6	31.12	74.36	16.29	2.41	12.33	4.7
61-2	NYU	Staph A.	NOD2	C4.fcs	P7	<0.33	<1.09	207.53	27.9	125.54	8.06	<1.15	<5.45	123.78	8.96	1.55	40.89	<3.11
61-3	NYU	Staph A.	NOD2	C5.fcs	P7	<0.33	1.65	992.15	41.6	99.43	10.72	3.68	167.46	202.63	36.95	5.31	69.44	3.94
61-4	NYU	Staph A.	NOD2	C6.fcs	P7	0.87	1.41	3461	177.61	147.18	24.34	5.99	143.48	231.77	86.67	9.41	192.84	7.52
32-1	NYU	Staph A.	AtgW	C7.fcs	P7	<0.33	<1.09	257.14	21.08	9.18	3.35	<1.15	<5.45	67.62	10.52	<1.42	12.6	3.49
32-2	NYU	Staph A.	AtgW	C8.fcs	P7	<0.33	<1.09	72.65	15.71	17.83	<2.47	<1.15	<5.45	39.58	5.06	<1.42	<4.58	<3.11
32-5	NYU	Staph A.	AtgW	C9.fcs	P7	<0.33	<1.09	35.34	16.02	3.97	3.95	<1.15	<5.45	55	8.1	<1.42	14.83	<3.11
32-8	NYU	Pseudomonas A.	AtgW	D10.fcs	P7	<0.33	<1.09	119.91	<1.03	<0.43	<2.47	<1.15	<5.45	9.78	<3.70	<1.42	<4.58	<3.11
78-84	NYU	Pseudomonas A.	AtgH	D11.fcs	P7	<0.33	<1.09	13.79	2.38	19.91	4.64	<1.15	<5.45	38.79	6.65	<1.42	40.98	<3.11
78-85	NYU	Pseudomonas A.	AtgH	D12.fcs	P7	<0.33	<1.09	<3.41	2.74	9.21	<2.47	<1.15	<5.45	55.09	8.15	<1.42	11.57	<3.11
61-1	NYU	Pseudomonas A.	NOD2	D3.fcs	P7	2.43	1.9	3324	48.5	108.2	12.9	2.04	<5.45	214.66	24.19	<1.42	151.01	4.05
61-2	NYU	Pseudomonas A.	NOD2	D4.fcs	P7	2.63	3.34	8028	43.36	261.44	10.09	1.69	56.35	337.36	55.06	13.43	384.48	<3.11
61-3	NYU	Pseudomonas A.	NOD2	D5.fcs	P7	2.61	3.02	>11302	33.12	128.36	3.46	3	74.39	252.05	49.9	10.09	404.2	<3.11
61-4	NYU	Pseudomonas A.	NOD2	D6.fcs	P7	9.65	<1.09	>11302	69.6	84.56	6.38	5.68	221.13	355.68	80.44	116.01	525.57	5.7
32-1	NYU	Pseudomonas A.	AtgW	D7.fcs	P7	<0.33	<1.09	1071	13.59	9.61	<2.47	<1.15	<5.45	192.09	24.11	<1.42	183.94	<3.11
32-2	NYU	Pseudomonas A.	AtgW	D8.fcs	P7	1.62	<1.09	3001	22.44	93.98	<2.47	<1.15	<5.45	176.13	15.99	5.31	133.28	<3.11
32-5	NYU	Pseudomonas A.	AtgW	D9.fcs	P7	<0.33	<1.09	237.08	3.6	3.42	<2.47	<1.15	<5.45	107.76	16.36	1.73	128.33	<3.11
32-8	NYU	Bacillus S.	AtgW	E10.fcs	P7	<0.33	<1.09	40.56	3.94	49.43	<2.47	<1.15	<5.45	110.83	5.81	<1.42	10.16	<3.11
78-84	NYU	Bacillus S.	AtgH	E11.fcs	P7	<0.33	<1.09	852.22	1.93	6.25	4.07	<1.15	<5.45	31.61	7.33	<1.42	40.64	<3.11
78-85	NYU	Bacillus S.	AtgH	E12.fcs	P7	<0.33	<1.09	<3.41	2.47	3.37	<2.47	<1.15	<5.45	51.12	8.72	2.77	11.7	<3.11
61-1	NYU	Bacillus S.	NOD2	E3.fcs	P7	1.15	2.4	6.22	7.5	30.53	12.44	11.41	149.97	75.38	14.25	<1.42	38.42	4.07
61-2	NYU	Bacillus S.	NOD2	E4.fcs	P7	0.95	5.47	448.42	15.62	136.08	19.04	<1.15	<5.45	181.84	22.86	3.44	109.27	5.75
61-3	NYU	Bacillus S.	NOD2	E5.fcs	P7	1.27	9.62	716.77	18.85	107.44	18.81	5.24	358.41	264.09	53.59	18.01	129.71	9.41
61-4	NYU	Bacillus S.	NOD2	E6.fcs	P7	1.92	<1.09	3547	43.08	51.45	44.77	<1.15	<5.45	327.29	70.21	104.22	136.68	4.59
32-1	NYU	Bacillus S.	AtgW	E7.fcs	P7	<0.33	<1.09	5.69	6.71	14.61	5.75	7.6	<5.45	139.65	25.16	2.3	56.31	<3.11
32-2	NYU	Bacillus S.	AtgW	E8.fcs	P7	<0.33	<1.09	11.93	2.53	25.13	<2.47	<1.15	<5.45	93.89	16.21	3.47	19.75	<3.11
32-5	NYU	Bacillus S.	AtgW	E9.fcs	P7	<0.33	<1.09	23.24	3.81	2.15	7.34	<1.15	<5.45	71.95	17.47	<1.42	15.7	4.26
32-8	NYU	Clostridium P.	AtgW	F10.fcs	P7	<0.33	<1.09	7.74	25.86	101.69	3.88	<1.15	<5.45	62.46	6.57	<1.42	<4.58	<3.11
78-84	NYU	Clostridium P.	AtgH	F11.fcs	P7	<0.33	<1.09	<3.41	1.26	<0.43	<2.47	<1.15	<5.45	3.19	6.34	<1.42	<4.58	<3.11
78-85	NYU	Clostridium P.	AtgH	F12.fcs	P7	<0.33	<1.09	<3.41	1.38	<0.43	<2.47	<1.15	<5.45	9.35	5.13	1.91	<4.58	<3.11
61-1	NYU	Clostridium P.	NOD2	F3.fcs	P7	0.36	2.46	29.19	35.7	35.37	7.98	5.38	<5.45	41.05	12.77	3.58	<4.58	4.13
61-2	NYU	Clostridium P.	NOD2	F4.fcs	P7	1.07	8	979.33	42.06	166.87	18.56	2.6	<5.45	84.79	16.73	9.04	43.66	6.74
61-3	NYU	Clostridium P.	NOD2	F5.fcs	P7	<0.33	1.87	1385	37.91	65	10.54	1.55	<5.45	86.41	17.67	19.15	12.19	3.74
61-4	NYU	Clostridium P.	NOD2	F6.fcs	P7	0.94	<1.09	693.57	25.7	12.49	9.44	<1.15	<5.45	60.22	8.58	6.6	32.39	<3.11
32-1	NYU	Clostridium P.	AtgW	F7.fcs	P7	<0.33	<1.09	54.7	13.89	11.56	<2.47	1.38	<5.45	54.7	12.61	2.21	8.28	<3.11
32-2	NYU	Clostridium P.	AtgW	F8.fcs	P7	<0.33	3.57	133.56	35.07	32.22	10.25	<1.15	165.77	76.28	8.39	13.21	29.29	<3.11
32-5	NYU	Clostridium P.	AtgW	F9.fcs	P7	1.88	<1.09	6.77	12.74	18.7	7.74	<1.15	<5.45	33.6	8.38	5.61	<4.58	<3.11
32-8	NYU	Bacteroides V.	AtgW	G10.fcs	P7	0.82	<1.09	279.54	24.85	168.17	3.23	<1.15	<5.45	190.5	22.42	1.44	359.84	<3.11
78-84	NYU	Bacteroides V.	AtgH	G11.fcs	P7	<0.33	<1.09	<3.41	2.83	17.55	<2.47	<1.15	<5.45	65.02	4.86	<1.42	371.56	<3.11
78-85	NYU	Bacteroides V.	AtgH	G12.fcs	P7	<0.33	<1.09	<3.41	5.65	26.17	5.79	<1.15	<5.45	89.9	14.07	<1.42	285.2	3.14
61-1	NYU	Bacteroides V.	NOD2	G3.fcs	P7	4.26	7.1	1032	43.55	123.18	16.58	7.59	241.43	239.76	21.58	1.69	325.84	8.77
61-2	NYU	Bacteroides V.	NOD2	G4.fcs	P7	3.68	6.66	10028	45.04	302.51	21.47	3.22	316.92	359.48	61.49	16.78	678.94	12.84
61-3	NYU	Bacteroides V.	NOD2	G5.fcs	P7	1.29	2.72	5718	45.89	220.99	11.93	6.71	178.85	299.81	72.04	10.17	673.28	4.2
61-4	NYU	Bacteroides V.	NOD2	G6.fcs	P7	4.14	1.13	>11302	107.76	209.58	33.67	<1.15	334.17	390.52	112.45	16.26	913.58	4.17
32-1	NYU	Bacteroides V.	AtgW	G7.fcs	P7	0.87	2.96	1504	23.3	53.46	9.67	<1.15	173.48	292.85	38.38	4.41	650.58	4.07
32-2	NYU	Bacteroides V.	AtgW	G8.fcs	P7	2.01	<1.09	4404	39.36	119.39	14.26	7.26	114.1	201.5	31.75	11.44	345.55	7.58
32-5	NYU	Bacteroides V.	AtgW	G9.fcs	P7	0.79	1.91	607.24	18.22	39.5	6.86	2.12	156.39	195.71	19.02	3.57	392.36	<3.11
32-8	NYU	Candida A.	AtgW	H10.fcs	P7	0.42	3.2	<3.41	1.89	11.02	6.07	2.81	61.22	23.43	24.91	<1.42	<4.58	<3.11
78-84	NYU	Candida A.	AtgH	H11.fcs	P7	<0.33	<1.09	<3.41	<1.03	3.18	4.64	4.4	173.74	8.03	<3.70	6.16	<4.58	5.22
78-85	NYU	Candida A.	AtgH	H12.fcs	P7	<0.33	<1.09	<3.41	<1.03	0.64	<2.47	<1.15	<5.45	8.7	4.9	5.48	<4.58	<3.11
61-1	NYU	Candida A.	NOD2	H3.fcs	P7	0.91	3.64	17.9	5.67	23.74	14.37	2.48	148.41	26.8	27.44	4.24	11.39	<3.11
61-2	NYU	Candida A.	NOD2	H4.fcs	P7	1.96	9.47	17.97	6.53	28	17.89	4.4	<5.45	32.86	13.63	6.33	5.93	3.68
61-3	NYU	Candida A.	NOD2	H5.fcs	P7	2.34	9.29	12.51	7.26	20.85	11.28	5.12	155.01	38.5	17.79	9.56	16	10.58
61-4	NYU	Candida A.	NOD2	H6.fcs	P7	1.99	11.02	26.6	35.86	50.31	10.74	12.45	<5.45	109.99	12.17	17.91	<4.58	3.79
32-1	NYU	Candida A.	AtgW	H7.fcs	P7	1.04	2.47	13.68	2.7	17.71	7.4	2.83	<5.45	15.1	14.34	3.96	<4.58	<3.11
32-2	NYU	Candida A.	AtgW	H8.fcs	P7	<0.33	1.21	<3.41	2.64	13.89	5.51	<1.15	<5.45	23.33	11.13	4.28	19.36	4.29
32-5	NYU	Candida A.	AtgW	H9.fcs	P7	3.78	5.51	15.22	1.62	29.93	19.03	<1.15	202.25	5.18	78.8	19.48	8.08	6.94
71-7	NYU	PBS	AtgE	A10.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	<2.53	<2.33	<2.15	<0.91	<0.58
71-8	NYU	PBS	AtgE	A11.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	<2.53	<2.33	<2.15	<0.91	<0.58
71-9	NYU	PBS	AtgE	A12.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	<2.53	<2.33	<2.15	<0.91	<0.58
86-3	NYU	PBS	AtgH	A3.fcs	P8	<0.89	<1.28	<2.50	<1.36	2.65	<0.81	<1.59	<15.73	<2.53	<2.33	<2.15	<0.91	<0.58
86-6	NYU	PBS	AtgH	A4.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	<2.53	<2.33	<2.15	<0.91	<0.58
86-7	NYU	PBS	AtgH	A5.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	<2.53	<2.33	<2.15	<0.91	<0.58
86-8	NYU	PBS	AtgH	A6.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	<2.53	<2.33	<2.15	<0.91	<0.58
86-9	NYU	PBS	AtgH	A7.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	<2.53	<2.33	<2.15	<0.91	<0.58
71-3	NYU	PBS	AtgE	A8.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	<2.53	<2.33	<2.15	<0.91	<0.58
71-6	NYU	PBS	AtgE	A9.fcs	P8	<0.89	<1.28	<2.50	<1.36	9.54	<0.81	<1.59	<15.73	9.92	7.54	<2.15	<0.91	<0.58
71-7	NYU	CD3/CD28	AtgE	B10.fcs	P8	<0.89	<1.28	60.94	3.45	<1.86	<0.81	<1.59	<15.73	19.49	<2.33	22.86	5.2	<0.58
71-8	NYU	CD3/CD29	AtgE	B11.fcs	P8	<0.89	<1.28	112.49	4.1	2.51	<0.81	<1.59	<15.73	15.59	8.76	6.32	<0.91	<0.58
71-9	NYU	CD3/CD30	AtgE	B12.fcs	P8	<0.89	<1.28	312.36	5.79	<1.86	<0.81	<1.59	<15.73	63.9	5.03	36.59	1.58	<0.58
86-3	NYU	CD3/CD31	AtgH	B3.fcs	P8	<0.89	<1.28	364.27	15.15	8.29	0.88	<1.59	<15.73	46.66	9.75	23.77	3.02	0.66
86-6	NYU	CD3/CD32	AtgH	B4.fcs	P8	<0.89	1.61	489.57	14.24	3.04	<0.81	1.82	<15.73	48.08	15.33	28.98	7.29	<0.58
86-7	NYU	CD3/CD33	AtgH	B5.fcs	P8	<0.89	<1.28	978.21	10.62	2.7	<0.81	<1.59	<15.73	41.8	12.42	12.2	2.54	<0.58
86-8	NYU	CD3/CD34	AtgH	B6.fcs	P8	<0.89	<1.28	519.51	11.35	2.09	<0.81	<1.59	<15.73	52.3	16.82	30.21	3.45	<0.58
86-9	NYU	CD3/CD35	AtgH	B7.fcs	P8	<0.89	<1.28	370.01	7.99	2.3	<0.81	<1.59	<15.73	53.59	12.83	36.53	2.55	<0.58
71-3	NYU	CD3/CD36	AtgE	B8.fcs	P8	<0.89	1.45	231.51	9.94	2.13	<0.81	<1.59	<15.73	103.83	28.03	26.25	3.51	<0.58
71-6	NYU	CD3/CD37	AtgE	B9.fcs	P8	<0.89	<1.28	99.22	6.8	2.77	<0.81	<1.59	<15.73	27.17	6.36	3.69	1.28	<0.58
71-7	NYU	Staph A.	AtgE	C10.fcs	P8	<0.89	<1.28	<2.50	1.89	16.45	<0.81	<1.59	<15.73	11.26	<2.33	<2.15	<0.91	<0.58
71-8	NYU	Staph A.	AtgE	C11.fcs	P8	<0.89	<1.28	<2.50	2.42	2.62	<0.81	<1.59	<15.73	17.9	<2.33	<2.15	2.2	<0.58
71-9	NYU	Staph A.	AtgE	C12.fcs	P8	<0.89	<1.28	192.94	5.74	3	<0.81	<1.59	<15.73	20.97	4.87	3.56	4.76	<0.58
86-3	NYU	Staph A.	AtgH	C3.fcs	P8	<0.89	<1.28	53.16	3.96	42.47	<0.81	<1.59	<15.73	22.15	<2.33	3.29	<0.91	0.92
86-6	NYU	Staph A.	AtgH	C4.fcs	P8	<0.89	<1.28	63.52	6.92	7.69	1.07	<1.59	<15.73	31.76	9.02	<2.15	1.39	<0.58
86-7	NYU	Staph A.	AtgH	C5.fcs	P8	<0.89	<1.28	110.77	3.9	8.56	<0.81	<1.59	<15.73	24.82	4.03	<2.15	2.73	<0.58
86-8	NYU	Staph A.	AtgH	C6.fcs	P8	<0.89	<1.28	22.67	3.52	9.95	<0.81	<1.59	<15.73	15.63	<2.33	<2.15	1.79	<0.58
86-9	NYU	Staph A.	AtgH	C7.fcs	P8	<0.89	<1.28	96.37	7.81	5.63	<0.81	<1.59	<15.73	35.57	2.76	<2.15	2.08	<0.58
71-3	NYU	Staph A.	AtgE	C8.fcs	P8	<0.89	<1.28	9.23	3.56	2.88	<0.81	<1.59	<15.73	10.57	<2.33	<2.15	1.02	<0.58
71-6	NYU	Staph A.	AtgE	C9.fcs	P8	<0.89	<1.28	7.56	46.46	275.46	<0.81	<1.59	51.51	6355	26.54	ND	1218	<0.58
71-7	NYU	Pseudomonas A.	AtgE	D10.fcs	P8	<0.89	<1.28	<2.50	<1.36	45.18	<0.81	<1.59	<15.73	10.91	<2.33	<2.15	2.38	<0.58
71-8	NYU	Pseudomonas A.	AtgE	D11.fcs	P8	<0.89	<1.28	<2.50	<1.36	14.76	<0.81	<1.59	<15.73	16.69	<2.33	<2.15	3.31	<0.58
71-9	NYU	Pseudomonas A.	AtgE	D12.fcs	P8	<0.89	<1.28	48.85	<1.36	<1.86	<0.81	<1.59	<15.73	15.89	<2.33	<2.15	1.17	<0.58
86-3	NYU	Pseudomonas A.	AtgH	D3.fcs	P8	<0.89	<1.28	3.58	<1.36	69.12	1.75	<1.59	<15.73	17.84	<2.33	<2.15	3.1	<0.58
86-6	NYU	Pseudomonas A.	AtgH	D4.fcs	P8	<0.89	<1.28	16.97	2.6	27.29	2.18	1.94	<15.73	51.12	13.07	<2.15	10.4	1.03
86-7	NYU	Pseudomonas A.	AtgH	D5.fcs	P8	<0.89	<1.28	<2.50	<1.36	7.96	<0.81	<1.59	<15.73	24.56	<2.33	<2.15	<0.91	<0.58
86-8	NYU	Pseudomonas A.	AtgH	D6.fcs	P8	<0.89	<1.28	11.5	<1.36	5.98	<0.81	<1.59	<15.73	23.42	8.16	<2.15	5.24	<0.58
86-9	NYU	Pseudomonas A.	AtgH	D7.fcs	P8	<0.89	<1.28	7.4	2.56	8.54	<0.81	<1.59	<15.73	55.25	4.93	<2.15	6.3	<0.58
71-3	NYU	Pseudomonas A.	AtgE	D8.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	19	<2.33	<2.15	0.99	<0.58
71-6	NYU	Pseudomonas A.	AtgE	D9.fcs	P8	1.33	<1.28	774.39	8.58	509.62	<0.81	3.14	<15.73	2885	ND	<2.15	ND	ND
71-7	NYU	Bacillus S.	AtgE	E10.fcs	P8	<0.89	<1.28	<2.50	<1.36	27.72	3.39	<1.59	<15.73	12.8	<2.33	<2.15	4.67	<0.58
71-8	NYU	Bacillus S.	AtgE	E11.fcs	P8	<0.89	<1.28	<2.50	<1.36	6.57	<0.81	<1.59	<15.73	19.63	<2.33	<2.15	<0.91	<0.58
71-9	NYU	Bacillus S.	AtgE	E12.fcs	P8	<0.89	<1.28	2.83	<1.36	<1.86	<0.81	<1.59	<15.73	23.84	<2.33	<2.15	1.3	<0.58
86-3	NYU	Bacillus S.	AtgH	E3.fcs	P8	<0.89	<1.28	<2.50	<1.36	27.73	<0.81	<1.59	<15.73	18.93	3.39	<2.15	2.58	<0.58
86-6	NYU	Bacillus S.	AtgH	E4.fcs	P8	<0.89	<1.28	68.23	<1.36	11.38	<0.81	<1.59	<15.73	27.56	<2.33	<2.15	8.83	<0.58
86-7	NYU	Bacillus S.	AtgH	E5.fcs	P8	<0.89	<1.28	412.07	1.39	9.61	<0.81	<1.59	<15.73	34.9	7.35	<2.15	3.94	1.33
86-8	NYU	Bacillus S.	AtgH	E6.fcs	P8	<0.89	<1.28	26.19	1.38	14.84	<0.81	<1.59	<15.73	20.72	5.3	<2.15	6.93	0.59
86-9	NYU	Bacillus S.	AtgH	E7.fcs	P8	1.1	1.41	36.53	8.16	44.46	7.51	6.54	245.13	174.27	66.94	4.83	12.69	5.01
71-3	NYU	Bacillus S.	AtgE	E8.fcs	P8	<0.89	<1.28	5.56	<1.36	2.96	<0.81	<1.59	<15.73	20.15	<2.33	<2.15	3.64	<0.58
71-6	NYU	Bacillus S.	AtgE	E9.fcs	P8	1.78	2.49	24.86	8.64	258.64	<0.81	<1.59	339.6	545	325.18	ND	286.3	ND
71-7	NYU	Clostridium P.	AtgE	F10.fcs	P8	<0.89	<1.28	<2.50	<1.36	21.01	<0.81	<1.59	<15.73	9.56	<2.33	<2.15	<0.91	<0.58
71-8	NYU	Clostridium P.	AtgE	F11.fcs	P8	<0.89	<1.28	<2.50	1.69	12.55	<0.81	<1.59	<15.73	11.09	<2.33	<2.15	2.37	<0.58
71-9	NYU	Clostridium P.	AtgE	F12.fcs	P8	<0.89	<1.28	<2.50	3.98	2.24	<0.81	<1.59	<15.73	9.7	<2.33	<2.15	1.51	<0.58
86-3	NYU	Clostridium P.	AtgH	F3.fcs	P8	<0.89	<1.28	2.55	4.69	43.52	0.87	<1.59	<15.73	17.03	8.45	<2.15	2.8	1.49
86-6	NYU	Clostridium P.	AtgH	F4.fcs	P8	<0.89	<1.28	157.8	5.57	11.53	1.18	<1.59	23.69	19.46	10.88	<2.15	7.52	<0.58
86-7	NYU	Clostridium P.	AtgH	F5.fcs	P8	<0.89	<1.28	3.62	2.69	5.49	<0.81	<1.59	<15.73	12.57	2.86	<2.15	1.58	<0.58
86-8	NYU	Clostridium P.	AtgH	F6.fcs	P8	<0.89	<1.28	<2.50	<1.36	2.12	<0.81	<1.59	<15.73	4.32	<2.33	<2.15	<0.91	<0.58
86-9	NYU	Clostridium P.	AtgH	F7.fcs	P8	<0.89	<1.28	<2.50	5.29	12.42	<0.81	1.95	<15.73	25.92	10.2	<2.15	3.57	<0.58
71-3	NYU	Clostridium P.	AtgE	F8.fcs	P8	<0.89	<1.28	<2.50	2.31	4.6	<0.81	<1.59	<15.73	7.9	<2.33	<2.15	1.11	<0.58
71-6	NYU	Clostridium P.	AtgE	F9.fcs	P8	<0.89	<1.28	2.63	4.22	44.24	<0.81	<1.59	<15.73	19.48	2.87	<2.15	5.15	<0.58
71-7	NYU	Bacteroides V.	AtgE	G10.fcs	P8	<0.89	<1.28	2.93	<1.36	100.97	<0.81	<1.59	<15.73	35.64	<2.33	<2.15	74.56	<0.58
71-8	NYU	Bacteroides V.	AtgE	G11.fcs	P8	<0.89	<1.28	34.76	1.42	29.07	<0.81	<1.59	<15.73	39.8	<2.33	<2.15	53.04	<0.58
71-9	NYU	Bacteroides V.	AtgE	G12.fcs	P8	<0.89	<1.28	263.59	3.14	7.82	<0.81	<1.59	<15.73	63.99	3.07	<2.15	75.24	<0.58
86-3	NYU	Bacteroides V.	AtgH	G3.fcs	P8	<0.89	<1.28	5.58	<1.36	29.21	<0.81	<1.59	<15.73	29.69	3.29	<2.15	35.62	<0.58
86-6	NYU	Bacteroides V.	AtgH	G4.fcs	P8	<0.89	<1.28	720.19	5.33	64.22	3.6	<1.59	<15.73	113.26	15.46	<2.15	160.42	1.14
86-7	NYU	Bacteroides V.	AtgH	G5.fcs	P8	<0.89	<1.28	27	3.02	22.06	<0.81	<1.59	<15.73	76.08	4.66	<2.15	30.37	<0.58
86-8	NYU	Bacteroides V.	AtgH	G6.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	<2.53	<2.33	<2.15	<0.91	<0.58
86-9	NYU	Bacteroides V.	AtgH	G7.fcs	P8	<0.89	<1.28	172.41	6.74	40.33	1.55	<1.59	<15.73	158.84	11.48	2.27	45.61	<0.58
71-3	NYU	Bacteroides V.	AtgE	G8.fcs	P8	<0.89	<1.28	89.21	2.52	8.94	<0.81	<1.59	<15.73	42.82	4.69	<2.15	34.8	<0.58
71-6	NYU	Bacteroides V.	AtgE	G9.fcs	P8	<0.89	<1.28	5.38	4.81	203.06	<0.81	<1.59	<15.73	80.93	4.19	<2.15	69.52	<0.58
71-7	NYU	Candida A.	AtgE	H10.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	3.27	<2.33	<2.15	<0.91	<0.58
71-8	NYU	Candida A.	AtgE	H11.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	3.11	<2.33	<2.15	<0.91	<0.58
71-9	NYU	Candida A.	AtgE	H12.fcs	P8	<0.89	<1.28	<2.50	<1.36	<1.86	<0.81	<1.59	<15.73	3.11	<2.33	<2.15	<0.91	<0.58
86-3	NYU	Candida A.	AtgH	H3.fcs	P8	<0.89	<1.28	3.13	<1.36	3.78	<0.81	1.73	<15.73	3.67	9.3	2.67	2.5	1.12
86-6	NYU	Candida A.	AtgH	H4.fcs	P8	<0.89	<1.28	3.08	<1.36	2.39	<0.81	<1.59	<15.73	6.21	4.38	<2.15	<0.91	<0.58
