Location	Genotype	Challenge_code	Challenge	Plate	IL-1a	IL-5	IFN-y	TNF-a	KC	MCP-1	IL-1b	IL-10	CCL3	CCL4	IL-17	IL-6	IL-13
NYU	B6	A6.fcs	PBS	5	2.31	8.97	62.72	4.55	39.7	13.26	19.27	48.07	15.75	34.75	7.92	18.66	5.73
NYU	B6	A7.fcs	PBS	5	0	1.63	2.77	0.47	5.2	2.97	0	0	0	2.37	0.72	0	1
NYU	NOD2	A10.fcs	PBS	5	0	1.53	8.58	0.49	7.33	3.28	0	0	1.46	6.24	0.77	0	0.77
NYU	NOD2	A11.fcs	PBS	5	0	0.79	1.93	0.16	4.1	3.36	0	0	0	3.09	0	0	0
NYU	NOD2	A12.fcs	PBS	5	0	2.73	12.89	0.83	11.57	5.78	0	0	0	3.3	1.55	1.21	1.38
NYU	NOD2	A8.fcs	PBS	5	0	1.35	3.92	0.65	8.07	3.96	3.23	0	1.55	8.12	2.77	2.67	1.99
NYU	NOD2	A9.fcs	PBS	5	0	1.52	4.83	0.34	7.35	4.23	3.06	0	1.21	1.39	1.69	0	1.9
NYU	AtgE	A3.fcs	PBS	6	0.6	8.53	3.09	1.29	15.05	8.84	20.57	60.41	7.7	23.13	0	12.98	1.17
NYU	AtgE	A4.fcs	PBS	6	2.76	16.89	15.46	3.05	24.67	12.11	15.1	81.27	15.17	0	13.15	16.39	2.83
NYU	AtgE	A5.fcs	PBS	6	1.94	15.58	8.33	2.26	26.63	7.45	8.11	34.73	8.96	0	14.74	12.82	4.55
NYU	AtgE	A6.fcs	PBS	6	0.44	11.68	6.11	1.79	10.46	8.38	5.97	73.82	6.97	0	0	19.54	2.02
NYU	AtgE	A7.fcs	PBS	6	0	8.89	6.63	1.08	11.65	6.65	10.55	12.07	4.78	27.86	0	10.09	3.69
NYU	AtgH	A10.fcs	PBS	6	0.71	4.9	3.32	0	8.89	3.61	0	0	0	0	30.57	0.65	0
NYU	AtgH	A11.fcs	PBS	6	0	10.91	21.75	1.27	30.05	8.4	15.67	77.45	4.98	0	19.94	10.71	0.75
NYU	AtgH	A12.fcs	PBS	6	0	5.31	1.81	0	4.06	7.5	5.48	0	0	0	0	0.99	0
NYU	AtgH	A8.fcs	PBS	6	0	1.29	0	3.89	0	4.45	0	27.12	6.31	ND	0	2.62	0
NYU	AtgH	A9.fcs	PBS	6	0	6.76	4.64	0	3.59	5.58	3.17	0	0	0	2.35	4.1	3.06
SF	AtgH	A10.fcs	PBS	9	0.79	1.58	0	0	2.74	0.6	0	21.15	5.68	24.65	0	0	0
SF	AtgH	A11.fcs	PBS	9	0.64	1.28	0	0	12.44	1.76	0	16.45	4.37	24.64	0	0	0
SF	AtgH	A12.fcs	PBS	9	0.68	1.19	0	0	2.63	0	0	26.35	5.45	23.69	0	0	0
SF	AtgW	A6.fcs	PBS	9	0	0.57	0	0	2.42	0	0	20.56	3.8	32.3	0	0	2.6
SF	AtgW	A7.fcs	PBS	9	0	1.19	0	0	1.37	0	0	0	7.23	22.5	0	0	0
SF	AtgW	A8.fcs	PBS	9	0	0.58	0	0	5.71	0	0	26.64	3.15	26.77	0.64	0	0
SF	AtgW	A9.fcs	PBS	9	0.78	1.87	1.31	0.56	4.05	1.68	0	26.23	7.39	26.05	2.22	0	0
SF	NOD2	A3.fcs	PBS	9	0	0	0	0	61	1.37	0	0	7.14	19.91	0	0	0
SF	NOD2	A4.fcs	PBS	9	0	0.35	0	0	5.13	0	0	0	4.23	24.13	0	0	0
SF	NOD2	A5.fcs	PBS	9	0	0	0	0	2.55	0	0	0	13.19	28.31	0	0	0
SF	AtgE	A10.fcs	PBS	11	0	1.99	3.68	0	20.89	6.6	5.42	18.28	2.62	0	2.7	16.9	0
SF	AtgE	A11.fcs	PBS	11	0	4.86	8.19	0	9.63	6.52	8.44	41.45	12.26	0	2.37	9.8	1.91
SF	AtgE	A12.fcs	PBS	11	2.01	8.83	13.12	3.26	25.81	7.38	13.18	56.36	15.6	0	6.34	16.15	2.3
SF	AtgE	A8.fcs	PBS	11	0	0	1.27	0	5.14	3.52	2.75	13.72	9.63	0	0	5.26	0.69
SF	AtgE	A9.fcs	PBS	11	0	0	1.52	0	7.55	2.11	1.99	12.44	6.41	0	0	4.37	0
SF	B6	A3.fcs	PBS	11	0	0	0	0	0	0	0	3.5	3.52	0	0	0	0
SF	B6	A4.fcs	PBS	11	0	0	4.08	0	10.46	5.48	7.54	47.04	8.52	0	1.63	9.75	0.96
SF	B6	A5.fcs	PBS	11	0	0	0	0	0	0	0	0	10.42	0	0	0	0
SF	B6	A6.fcs	PBS	11	0	0	0	0	0	0	0	0	2.51	0	0	0	0
SF	B6	A7.fcs	PBS	11	0	0	1.09	0	0.85	0	0	11.04	4.45	0	0	0	0
NYU	B6	D3.fcs	Psuedo	5	0	0	253.68	3.73	8.66	1.78	0	0	42.64	7.71	0	15.06	0
NYU	B6	D4.fcs	Psuedo	5	0	0	15.97	3.08	74.74	1.24	0	0	53.99	11.12	0	36.44	0
NYU	B6	D5.fcs	Psuedo	5	0	0.84	1177	6.35	69.96	3.38	0	0	76.75	26.52	0	47.78	1.09
NYU	B6	D6.fcs	Psuedo	5	0	0	752.51	3.33	23.67	3.36	0	0	72.28	26.61	1.21	62.6	0
NYU	B6	D7.fcs	Psuedo	5	0	0	711.54	4.78	115.67	3.19	3.01	0	48.34	10.79	0.96	81.04	0
NYU	NOD2	D10.fcs	Psuedo	5	0.75	1.19	230.62	2.32	13.87	4.26	0	5.55	53.51	15.3	2.45	82.18	1.42
NYU	NOD2	D11.fcs	Psuedo	5	0.76	2.47	375.86	5.98	40.59	5.5	5.88	8.91	96.04	33.07	4.65	32.08	2.14
NYU	NOD2	D12.fcs	Psuedo	5	0	2.24	6325	12.01	65.79	4.89	0	14.25	68.18	5.42	3.59	99.56	1.79
NYU	NOD2	D8.fcs	Psuedo	5	0	0.85	216.41	4.71	21.35	4.52	6.62	0	55.66	13.29	1.26	62.31	1.42
NYU	NOD2	D9.fcs	Psuedo	5	0	1.17	774.11	5.43	33.47	3.99	1.55	0	74.05	15.25	1.19	93.52	1.24
NYU	AtgE	D3.fcs	Psuedo	6	1.23	0	5.3	3.8	17.07	6.45	11.21	79.6	22.4	170.95	6.77	23.8	4.54
NYU	AtgE	D4.fcs	Psuedo	6	0.43	6.25	0	3.1	16.06	8.05	10.21	0	69.48	0	1.79	20.31	0
NYU	AtgE	D5.fcs	Psuedo	6	1.22	7.15	15.7	7.19	47.91	7.62	9.74	0	147.31	59	0	61.49	0
NYU	AtgE	D6.fcs	Psuedo	6	0	10.06	2361	5.59	22.01	3.24	0	0	97.43	0	9.36	54.91	2.52
NYU	AtgE	D7.fcs	Psuedo	6	0.79	5.35	411.04	6.43	26.3	9.4	0	0	39.85	0	0	30.19	0
NYU	AtgH	D10.fcs	Psuedo	6	0	0	4.83	3.18	9	1.31	0	0	31.46	0	0	10.64	0
NYU	AtgH	D11.fcs	Psuedo	6	0	0	1.42	0	3.24	1.41	0	0	25.32	0	0	9.67	0
NYU	AtgH	D12.fcs	Psuedo	6	0	0	7.39	1.21	18.76	0	0	0	36.84	0	0	12.27	0
NYU	AtgH	D8.fcs	Psuedo	6	1.66	10.71	4.96	2.84	11.44	5.55	0	0	45.4	34.09	0	13.18	3.76
NYU	AtgH	D9.fcs	Psuedo	6	0	4.14	65.14	3.51	14	1.63	0	0	105.51	0	0	28.19	0
SF	AtgH	D10.fcs	Psuedo	9	1.97	3.43	3.5	2.95	22.45	4.08	4.86	41.67	71.57	44.63	3.15	43.08	2.82
SF	AtgH	D11.fcs	Psuedo	9	1.52	3.79	7.13	6.97	403.4	7.55	0	29.14	138.36	46.44	3.14	52.02	2.06
SF	AtgH	D12.fcs	Psuedo	9	1.22	3.25	6.66	3.1	69.47	4.77	5.83	33.23	62.9	36.93	2.22	40.2	3.82
SF	AtgW	D6.fcs	Psuedo	9	1.11	1.79	848.48	13.27	25.48	2.03	0	27.89	191.56	60.69	0.52	66.73	0
SF	AtgW	D7.fcs	Psuedo	9	0.98	0.89	1235	2.77	4.28	0	0	45.24	57.51	53.27	0.69	43.3	0
SF	AtgW	D8.fcs	Psuedo	9	4.84	9.05	74.71	9.14	1302	14.98	16.72	166.26	167.33	74.31	4.6	227.7	7.68
SF	AtgW	D9.fcs	Psuedo	9	1.18	1.87	120.03	2.35	79.68	3.44	0	55.43	67.11	43.22	0	63.57	2.22
SF	NOD2	D3.fcs	Psuedo	9	2.21	1	2182	9.37	1165	33.11	0	29.44	184.42	65.66	23.37	126.3	0
SF	NOD2	D4.fcs	Psuedo	9	0.77	0.58	0	3.74	88.11	1.42	0	20.66	84.38	27.58	0	50.56	0
SF	NOD2	D5.fcs	Psuedo	9	0.42	1.15	124.9	4.67	33.97	1.02	0	29	120.31	44.31	0	66.03	1.41
SF	AtgE	D10.fcs	Psuedo	11	4.53	9.66	559.68	10.4	235.86	12.94	10.1	57.86	80.78	0	8.04	62.18	4.19
SF	AtgE	D11.fcs	Psuedo	11	2.07	7.47	79.52	7.58	24.42	7.03	9.46	75.52	71.19	0	8.15	72.22	3.27
SF	AtgE	D12.fcs	Psuedo	11	2.99	9.4	465.03	14.89	345.08	10.8	11.07	83.74	157.83	52.3	7.28	78.29	3.43
SF	AtgE	D8.fcs	Psuedo	11	0.9	5.38	57.94	10.1	76.51	6.62	4.64	32.52	128.6	0	4.76	111.43	4.5
SF	AtgE	D9.fcs	Psuedo	11	2.97	9	364.42	11.08	261.24	13.03	10.63	53.42	137.85	0	6.58	72.51	4.22
SF	B6	D3.fcs	Psuedo	11	5.06	7.3	3.01	6.54	14.1	6.69	3.96	8.24	55.32	0	4.03	65.57	1.95
SF	B6	D4.fcs	Psuedo	11	1.07	1.47	26.88	7.16	50.13	5.1	3.71	25.62	75.19	0	0	76.47	0
SF	B6	D5.fcs	Psuedo	11	0.66	0	2108	11.57	34.63	5.27	3.07	48.42	174.97	54.85	1.29	143.17	2.35
SF	B6	D6.fcs	Psuedo	11	0	1.92	459.5	5.88	26.17	7.18	3.93	8.61	54.13	0	0.82	86.17	0
SF	B6	D7.fcs	Psuedo	11	1.38	2.14	130.76	5.4	19.34	5.09	3.4	20.43	77.84	0	1.4	94.09	1.95
NYU	B6	C3.fcs	Staph_A	5	0	0	60.69	7.63	5.21	1.05	0	0	30.5	9.52	0	1.84	0
NYU	B6	C4.fcs	Staph_A	5	0	0	51.03	6.15	46.37	3.91	0	0	27.99	9.28	2.26	16.19	1.17
NYU	B6	C5.fcs	Staph_A	5	0	0	39.23	8.06	34.55	1.87	0	4.57	27.51	6.88	0	28.75	0.82
NYU	B6	C6.fcs	Staph_A	5	0	1.3	625.56	7.54	6.9	3.74	0	0	46.23	26.66	1.11	6.15	1.75
NYU	B6	C7.fcs	Staph_A	5	0	1.15	11.33	7.64	60.94	3.84	0	0	33.09	2.97	2.5	38.46	2.5
NYU	NOD2	C10.fcs	Staph_A	5	0	0.75	113.72	6.46	9.58	5.07	3.47	0	50.38	13.25	2.12	6.41	1.71
NYU	NOD2	C11.fcs	Staph_A	5	0	2.12	5.33	2.29	16.69	2.25	5.26	0	15.24	4.51	1.68	5.98	1.23
NYU	NOD2	C12.fcs	Staph_A	5	0	2.97	61.04	32.49	11.28	6.47	5.45	19.87	78.85	35.7	6.9	1.71	2.51
NYU	NOD2	C8.fcs	Staph_A	5	0	0.88	41.49	5.18	14.19	3.09	0	8.55	37.92	23.51	0	4.59	2.29
NYU	NOD2	C9.fcs	Staph_A	5	0	1.01	29.02	6.6	15.92	4.19	0	0	42.53	9.58	1.01	10.26	1.08
NYU	AtgE	C3.fcs	Staph_A	6	0	4.67	3.47	4.32	10.86	5.93	0	0	21.72	0	0	7.1	0
NYU	AtgE	C4.fcs	Staph_A	6	0.5	5.15	312.15	20.22	20.7	5.98	3.69	0	54.08	0	0	13.78	0
NYU	AtgE	C5.fcs	Staph_A	6	0.79	7.02	334.28	21.2	39.09	8.75	0	0	70.67	0	0	16.31	0
NYU	AtgE	C6.fcs	Staph_A	6	0.8	8.95	19.57	0.8	7.65	3	0	0	2.08	0	0	6.94	0
NYU	AtgE	C7.fcs	Staph_A	6	0.84	8.38	8.95	0.9	6.13	5.52	6.59	0	4.34	0	0	1.48	0
NYU	AtgH	C10.fcs	Staph_A	6	1.3	7.14	8.83	2.76	10.96	6.13	0	0	47.89	40.01	0	4.84	0
NYU	AtgH	C11.fcs	Staph_A	6	0	1.36	123.39	5.02	25.33	6.25	0	0	22.76	0	0	0	0
NYU	AtgH	C12.fcs	Staph_A	6	0	0	5.53	3.78	9.32	2.96	0	0	14.64	0	0	3.39	0
NYU	AtgH	C8.fcs	Staph_A	6	0.7	10.94	7.69	1.09	7.04	4.11	0.55	0	2.2	0	1.23	8.08	0
NYU	AtgH	C9.fcs	Staph_A	6	0.87	5.96	199.42	22.51	17.02	6.25	0	40.08	80.33	57.6	1.72	15.97	1.62
SF	AtgH	C10.fcs	Staph_A	9	1.45	1.99	12.5	6.94	13.95	1.86	3.18	41.55	51.62	35.14	1.94	46.9	5.44
SF	AtgH	C11.fcs	Staph_A	9	1.35	2.53	5.1	9.38	145.58	3.39	0	39.54	83.71	38.95	0	16.98	0
SF	AtgH	C12.fcs	Staph_A	9	1.67	4.33	1.46	0.69	15.79	3.16	1.84	35.36	12.55	42.22	1.41	17.15	0
SF	AtgW	C6.fcs	Staph_A	9	0.83	1.47	1.47	10.92	13.5	2.57	0	0	108.11	45.33	0	11.83	0.88
SF	AtgW	C7.fcs	Staph_A	9	0.87	1.64	3.9	4.24	6.63	1.44	0	16.87	60.07	31.14	1.37	10.53	0
SF	AtgW	C8.fcs	Staph_A	9	1.51	1.65	4.17	13.72	567.34	6.82	0	30.13	137.89	41.11	2.35	36.52	1.12
SF	AtgW	C9.fcs	Staph_A	9	0.92	1.95	0	3.3	10.93	2.86	0	21.57	35.56	33.62	4.45	0	0
SF	NOD2	C3.fcs	Staph_A	9	0.84	0.88	192.07	9.77	289.7	8.08	0	0	98.21	44.02	0	17.06	0
SF	NOD2	C4.fcs	Staph_A	9	0.68	1.56	0	6.51	41.12	1.9	0	26.28	37.14	28.96	0	0	0
SF	NOD2	C5.fcs	Staph_A	9	0.78	0.56	5.95	4.46	15.67	0.59	0	0	47.84	40.03	0	10.79	0
SF	AtgE	C10.fcs	Staph_A	11	4.02	7.85	1620	36.25	649.58	35.35	12.32	68.53	278.66	149.61	22.78	32.61	3.03
SF	AtgE	C11.fcs	Staph_A	11	1.31	6.57	20.9	13.94	25.41	5.25	9.79	45.54	47.42	0	5.66	22.03	1.01
SF	AtgE	C12.fcs	Staph_A	11	2.14	8.27	131.94	36.3	558.9	12.92	11.26	55.93	173.23	59.32	13.94	25.19	4.25
SF	AtgE	C8.fcs	Staph_A	11	1.58	3.17	9.54	14.93	43.74	7.71	7.23	85.15	93.39	0	3.85	26.55	1.05
SF	AtgE	C9.fcs	Staph_A	11	3.07	8.82	15.94	21.39	220.55	20.68	10.72	100.14	165.6	74.79	5.42	44.88	6.54
SF	B6	C3.fcs	Staph_A	11	0	0	0	2.82	8.44	6.58	4.98	0	24.01	0	0.64	6.89	0
SF	B6	C4.fcs	Staph_A	11	0	0	18.56	10.53	22.16	3.51	0	0	66.48	0	0	11.45	0
SF	B6	C5.fcs	Staph_A	11	0	0	332.62	20.73	24.1	6.09	3.34	18.69	129.61	64.89	14.68	28.78	0
SF	B6	C6.fcs	Staph_A	11	0	0	33.82	8.86	26.57	7.41	7.08	35.11	53.2	0	2.18	21.25	1.48
SF	B6	C7.fcs	Staph_A	11	1.54	4.97	40.33	10.87	26.51	8.85	8.17	26.36	60.75	0	3.57	25.13	0.69
