Accession	Title	Data Archive	Links	Status	Release Date	Created	Updated	Submission	SRA.filename
SAMN12511618	02-4_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.786Z	2019-08-07T03:01:22.116Z	SUB6137647	
SAMN12511617	02-3_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.770Z	2019-08-07T03:01:21.913Z	SUB6137647	
SAMN12511616	70-9_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.750Z	2019-08-07T03:01:21.616Z	SUB6137647	
SAMN12511615	70-7_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.733Z	2019-08-07T03:01:21.336Z	SUB6137647	
SAMN12511614	70-3_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.706Z	2019-08-07T03:01:21.086Z	SUB6137647	
SAMN12511613	70-2_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.690Z	2019-08-07T03:01:20.866Z	SUB6137647	
SAMN12511612	70-1_AtgE_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.670Z	2019-08-07T03:01:20.680Z	SUB6137647	
SAMN12511611	32-8_AtgW_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.653Z	2019-08-07T03:01:20.476Z	SUB6137647	
SAMN12511610	32-5_AtgW_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.636Z	2019-08-07T03:01:20.273Z	SUB6137647	
SAMN12511609	32-2_AtgW_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.620Z	2019-08-07T03:01:20.070Z	SUB6137647	
SAMN12511608	32-1_AtgW_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.600Z	2019-08-07T03:01:19.790Z	SUB6137647	
SAMN12511607	31-90_AtgW_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.583Z	2019-08-07T03:01:19.400Z	SUB6137647	
SAMN12511606	31-80_AtgW_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.566Z	2019-08-07T03:01:19.150Z	SUB6137647	
SAMN12511605	31-31_AtgW_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.546Z	2019-08-07T03:01:18.900Z	SUB6137647	
SAMN12511604	31-29_AtgW_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.526Z	2019-08-07T03:01:18.696Z	SUB6137647	
SAMN12511603	31-27_AtgW_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.506Z	2019-08-07T03:01:18.430Z	SUB6137647	
SAMN12511602	66-5_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.490Z	2019-08-07T03:01:18.226Z	SUB6137647	
SAMN12511601	66-4_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.473Z	2019-08-07T03:01:18.040Z	SUB6137647	
SAMN12511600	66-3_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.456Z	2019-08-07T03:01:17.803Z	SUB6137647	
SAMN12511599	66-2_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.440Z	2019-08-07T03:01:17.616Z	SUB6137647	
SAMN12511598	66-1_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.423Z	2019-08-07T03:01:17.413Z	SUB6137647	
SAMN12511597	65-5_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.406Z	2019-08-07T03:01:17.226Z	SUB6137647	
SAMN12511596	65-4_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.390Z	2019-08-07T03:01:16.993Z	SUB6137647	
SAMN12511595	65-3_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.370Z	2019-08-07T03:01:16.803Z	SUB6137647	
SAMN12511594	65-2_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.350Z	2019-08-07T03:01:16.586Z	SUB6137647	
SAMN12511593	65-1_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.333Z	2019-08-07T03:01:16.336Z	SUB6137647	
SAMN12511592	64-5_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.316Z	2019-08-07T03:01:16.133Z	SUB6137647	
SAMN12511591	64-4_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.300Z	2019-08-07T03:01:15.913Z	SUB6137647	
SAMN12511590	64-3_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.273Z	2019-08-07T03:01:15.710Z	SUB6137647	
SAMN12511589	64-2_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.256Z	2019-08-07T03:01:15.413Z	SUB6137647	
SAMN12511588	64-1_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.240Z	2019-08-07T03:01:15.006Z	SUB6137647	
SAMN12511587	61-4_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.223Z	2019-08-07T03:01:14.803Z	SUB6137647	
SAMN12511586	61-3_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.206Z	2019-08-07T03:01:14.616Z	SUB6137647	
SAMN12511585	61-2_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.186Z	2019-08-07T03:01:14.273Z	SUB6137647	
SAMN12511584	61-1_NOD2_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.170Z	2019-08-07T03:01:13.976Z	SUB6137647	
SAMN12511583	59-5_B6_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.150Z	2019-08-07T03:01:13.756Z	SUB6137647	
SAMN12511582	59-4_B6_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.133Z	2019-08-07T03:01:13.196Z	SUB6137647	
SAMN12511581	59-3_B6_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.120Z	2019-08-07T03:01:12.913Z	SUB6137647	
SAMN12511580	59-2_B6_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.100Z	2019-08-07T03:01:12.650Z	SUB6137647	
SAMN12511579	59-1_B6_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.080Z	2019-08-07T03:01:12.366Z	SUB6137647	
SAMN12511578	57-5_B6_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.063Z	2019-08-07T03:01:12.116Z	SUB6137647	
SAMN12511577	57-4_B6_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.043Z	2019-08-07T03:01:11.883Z	SUB6137647	
SAMN12511576	57-3_B6_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04.023Z	2019-08-07T03:01:11.663Z	SUB6137647	
SAMN12511575	57-2_B6_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:04Z	2019-08-07T03:01:11.476Z	SUB6137647	
SAMN12511574	57-1_B6_NYU	BioSample	"BioProject: 1, SRA: 1"	ToBeReleased	12/1/19	2019-08-07T02:18:03.966Z	2019-08-07T03:01:11.040Z	SUB6137647	
